prompt,references_past
"interloper consuming food in no man's sky digital art in the style of greg rutkowski and craig mullins, 4 k",no
mad man struggling with wise world,no
oil painting scene from desert by kim jung gi,no
"A nightgaunt attacking a 1940s yacht on the pier in Istanbul. Octane render, hyperrealistic",no
"small red wooden cottage by the lake, lanterns in the front of the cottage, smoke coming out of the chimney, dusk, birch trees, tranquility, two swans swimming in the lake, a rowing boat, by Greg Rutkowski, by Charlie Bowater",no
"photo of a gorgeous christina hendricks / amber heard hybrid in the style of stefan kostic, realistic, professionally, professionally color graded, half body shot, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, art by stanley lau and artgerm",no
"symmetry!! portrait of sailor uranus! alien in the style of horizon zero dawn, machine face, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and ross tran and greg rutkowski and alphonse mucha, 8 k",no
"Galactus, art by H R Giger",no
"🦈 instrument , digital Art, Greg rutkowski, Trending cinematographic artstation",no
"a highly detailed cinematic photo from a live - action bioshock movie. andrew ryan, portrayed by ryan gosling, is shown standing in a 1 9 3 0's office with a large desk in front of a floor - to - ceiling window looking out onto the underwater city of rapture shining in the distance, several fish are shown outside of the window",no
"hyperdetailed photo of a serious woman with light blue eyes and open mouth, very short dark hair, in a cybercity, in front of smoke behind, wearing crop top, classic, photo 3 5 mm leica, hyperdetail, 8 k, very detailed, fine face",no
"jennifer connelly ball dancing with the goblin king, david bowie",no
"Batman who laughs, paint by Wadim Kashin",no
a cyberpunk electric wheelchair with a tablet holder,no
a photo of barbwire stiletto heels,no
"high quality high detail painting by ilya repin, fbi arresting a man, hd",no
"mila kunis, in holograms of alien artifacts, electrical case display, total recall tech, dramatic lighting, electrical details, high details, 4 k, 8 k, best, accurate, trending on artstation, artstation, photorealism, ultrarealistic, digital painting, style of peter mohrbacher, caravaggio, boris vallejo",no
garfield fights kermit in mortal kombat 2 0 7 7,no
"soft greek sculpture of a banana painted by james jean in pastel colors. artwork and beeple and dan mumford and greg rutkowski and nekroxiii. halo. octane render, cinematic, hyper realism, octane render, 8k, depth of field, bokeh. iridescent accents. vibrant.",no
rick astley with slipknot in never gonna give you up music video,no
"intricate, 3 d, metallic dome just above the ocean, style by caspar david friedrich and wayne barlowe and ted nasmith.",no
"schitts creek dan levy sticker art, svg vector, adobe - illustrator",no
parallax datacenter server room single mono colossus white rusty android robosaurus guard in artstation cinematic detailed concept art volumetric light sharp coherent cgsociety symmetric perfect,no
"Chun-Li in a fight pose, portrait, fantasy, medieval, beautiful face, vivid colors, elegant, concept art, sharp focus, digital art, Hyper-realistic, 4K, Unreal Engine, Highly Detailed, HD, Dramatic Lighting by Brom, trending on Artstation",no
"Pig in a tuxedo, photo, 35 mm",no
oil painting scene from Requiem for a dream movie art by kim jung gi,no
"january 6 th insurrection claymation by jan svankmejer, hyperrealistic, aesthetic, masterpiece",no
"realistic portrait of a nasty bishop, inverted cross, evil, heroic pose, beautiful face, bible, full body, dramatic lighting, intricate, wild, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, footage from space camera",no
Screenshot of a 3d version of Meatwad from Aqua Teen Hunger Force as a 3d NPC in the videogame 'Grand Theft Auto V' (2013). Sharpened. 1080p. High-res. Ultra graphical settings.,no
"realistic detailed face portrait of the Queen of Wands of the Tarot holding a magic wand by Alphonse Mucha, Ayami Kojima, Amano, Charlie Bowater, Karol Bak, Greg Hildebrandt, Jean Delville, and Mark Brooks, Art Nouveau, Neo-Gothic, gothic, Tarot, Tarot card, wands, fire, flickering flames, tarot wands, rich deep moody colors, vibrant reds golds flame colors, fire colors",no
toddler Kanye west wearing Gucci and a crown,no
nan,no
"portrait of a skinny punk goth klaus nomi wearing armor by simon bisley, john blance, frank frazetta, fantasy, thief rogue",no
"an infinite public restroom with endless stalls and endless sinks fading into the distance, lots of people, showers, lights, tile, cinematic lighting, volumetric lighting, award winning photography, highly detailed, intricate, sharp focus, 4 k wallpaper, unreal engine, 9 0 mm, f / 1. 4",no
"side - profile painted portrait, queen, fantasy, by atey ghailan, by greg rutkowski, by greg tocchini, by james gilleard, by joe fenton, by kaethe butcher, hearthstone, art by artgerm dynamic lighting, gradient light blue, brown, blonde cream and white color scheme, grunge aesthetic",no
"two men made out of tortillas, their whole body is a tortilla, they are holding microphones, by marco bucci and frank frazetta, style of magic the gathering, high resolution, fantasy coloring, intricate, digital painting, artstation, smooth, sharp focus",no
"highly detailed poster artwork by Michael Whelan and Tomer Hanuka, of Donald Trump, clean",no
"made out of fur, array of crt televisions, tv static, antenna, stacked, polaroid, steroids, adult video store, impressionist painting, painting, acrylic painting, cell shaded",no
"surreal neil gaiman's sandman, dream, nostalgia for a fairytale, magic realism, goth flowerpunk, mysterious, vivid colors, by andy kehoe, amanda clarke",no
"ultra realistic, beautiful female cyborg, in a club in space metropolis, sci-fi, intricate details, eerie, highly detailed, octane render, 8k, art by artgerm and alphonse mucha and moebius",no
"Black Goldendoodle with a bright face and a puppy sitting at a diner drinking a cup of coffee, looking melancholy, edward hopper",no
a homeless man fly's in the sky. realistic image. new york city candid photo. hyperrealistic,no
isometric art by m. c. escher,no
"はっとり へいし ； hattori heiji, pen and ink, intricate line drawings, by craig mullins, ruan jia, kentaro miura, greg rutkowski, loundraw",no
"portrait of henry cavill, hyper detailed masterpiece, neon floral pattern, jean giraud, digital art painting, darkwave goth aesthetic, psychedelic, artgerm, donato giancola and tom bagshaw",no
elon musk seductively licks a lollipop.,no
no people. Solomon Joseph Solomon and Richard Schmid and Jeremy Lipking victorian genre painting portrait painting ofa fairy tail wizards castle tower,no
"molly from neuromancer, extremely detailed portrait of a young cyberpunk woman, eye implants, sunset, cyberpunk city background, megacity, gorgeous view, depth, painted by seb mckinnon, high detail, digital art, painted by greg rutkowski, trending on artstation",no
