prompt,references_past
longleg machine mecanical creature robot of horizon forbidden west horizon zero dawn radiating a glowing aura global illumination ray tracing hdr fanart arstation by ian pesty and alena aenami artworks in 4 k,no
"in this detailed photography from Annie Leibovitz we can see the Notorious BIG, a buddhist monk who turned into the new Dalai Lama",no
"beautiful cinematic fantasy poster, Jessica Chobot as a vampire wearing a jeweled silver crown with brilliant silver flowing hair, beautiful blue glowing eyes, wideshot ultrawide angle epic scale, hybrid from The Elden Ring and art direction by Darius Zawadzki ;by artgerm; wayne reynolds art station; cinematic quality character render; low angle; ultra high quality model; production quality cinema model;",no
"both the guy and the girl dies and goes to hell where the god of death grants them a second chance to live on earth for seven days. at the end of one week, they must decide who gets to live. art by jasmine becket griffith",no
"“ beautiful brown hair model close up wearing shirt and skirt, soft, 1 9 6 0 ’ s fashion, 1 5 0 mm f 2. 8, extreme close up face shot, hasselblad, photo by brian ingram, david lazar, lisa kristine, steve mccurry, high quality, symmetrical face, clear skin, 4 k, dramatic lighting ”",no
"photo portrait painting of bill gates on shrooms, expose yourself to art",no
"neoclassical image of a lego minifigure saving a small lego creature in a colorful forest, concept art, dynamic lighting, artstation, poster, volumetric lighting, 8 k, award winning",no
"3d render of a rough clay heart shape in the middle of a gray sheet of paper, range of pastel colors on the left side",no
"Mysterio, artwork by Franz Sedlacek,",no
"A cute white kitty cat posing like a maneki neko cat, D&D, fantasy, intricate, cinematic lighting, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by Akihiko Yoshida, Greg Rutkowski and Alphonse Mucha",no
"Ella. beautiful feminist cyberpunk assassin wearing a military vest and military gear (cyberpunk 2077). gorgeous face. Iranian orientalist portrait by john william waterhouse and Edwin Longsden Long and Theodore Ralli and Nasreddine Dinet, oil on canvas. Cinematic, hyper realism, realistic proportions, dramatic lighting, high detail 4k",no
"a human Skull mutating into flowers, tentacles, unnatural shapes, jellyfish tentacles reaching out, coherent human Skull, insect, chaotic octane render, 3d digital art by beeple, unreal engine 5, award winning,",no
"A call to port a port of call, colorful, no borders, high quality, 8k, trending on Artstation, surreal",no
"real life persophone from lore olympus, digiral art",no
"2 0 0 8 nokia flipphone footage of marian apparition, marian apparitions distant in clouds, red line circle drawn around subject, jpg damage",no
"a highly detailed Long shot photo of chthonic warcraft Princess Valeera Sanguiunar female character by Ayami Kojima, Beksinski, Giger,intricate, digital painting, artstation, intricate, concept art, smooth, sharp focus, illustration",no
"“ a drawing of a dachshund in the style of hr giger, surreal, eerie ”",no
"A extremely ultra highly detailed majestic hi-res beautiful immaculate head and shoulders award winning painting stunning masterpiece of the face of a strong black african warrior man with an afro by Jean-Michel Basquiat, 8k, high textures, ultra hyper sharp, insanely detailed and intricate, super detailed, 8k HDR ultra high quality",no
"Cozy interior of a spaceship, teal lighting, cozy lighting, space seen outside from a window, by Syd Mead, John Harris, Federico Pelat",no
lady gaga futuristic style photoshoot by nick knight 4k,no
"a detailed, beautiful portrait oil painting of keisha castle hughes, with a hurt expression, wearing intricate, etched copper armor in an ancient forest, by donato giancola, john williams waterhouse, and william adolphe bouguereau",no
"japanese graffiti horror vhs cover art, detailed facial expressions",no
shield fantasy epic legends game icon stylized digital illustration radiating a glowing aura global illumination ray tracing hdr fanart arstation by ian pesty and katarzyna da „ bek - chmiel,no
"elf girl render as a very beautiful 3d anime girl, full body, full body, long braided silver hair, azur blue eyes, full round face, belly free teal dress, short smile, in snow, cinematic lightning, medium shot, mid-shot, highly detailed, trending on Artstation, Unreal Engine 4k, cinematic wallpaper",no
silly cover illustration on a box of 'Santa Claus Must Die' kids' sugar cereal,no
"a grey hair old halfling top hat and suit no beard by Greg Rutkowski, painting, portrait, HD, high details, trending on artstation",no
