prompt,references_past
"portrait beautiful pale European woman, short pink hair, black French beret hat, intricate artwork by Tooth Wu and wlop and beeple, greg rutkowski, very coherent symmetrical artwork, cinematic, hyper realism, high detail, octane render, unreal engine, 8k, Vibrant colors, Smooth gradients, High contrast, depth of field, aperture f1.2",no
"hanging gardens of babylon, highly realistic",no
"wild ocean storm at night, old wooden pirate ship battle, appearing from fog, mist, dramatic lighting, cinematic, establishing shot, extremly high detail, foto realistic, pirates of the carribean, cinematic lighting, post processed, concept art, artstation, matte painting, style by eddie mendoza, raphael lacoste, alex ross",no
"lush enchanted forest by salome totladze, beautiful",no
"a painting of a person standing in the snow, a surrealist painting by alena aenami, deviantart, nuclear art, dystopian art, apocalypse landscape, surrealist",no
"warrior princess by Frank Frazetta,fantasy artwork,bold,striking,high quality!!!!!,masterpiece!!!!",no
rising sun white subtle dawn purple gold god rays crystals simple background graphic ultra simplified,no
kathleen kennedy as an evil villain,no
"jeep wrangler, an epic fantasy, dramatic lighting, cinematic, establishing shot, extremely high detail, photorealistic, cinematic lighting, artstation, by simon stalenhag, horizon forbidden west",no
"cute baby hydra in it\'s nest, octane render, unreal engine, trending on artstation",no
"highly detailed oil painting of nicolas cage eating a banana, 4 k, in the style of frida kahlo, van gogh, monet, picasso and dali",no
joaquin phoenix in the movie coraline,no
"portrait of a rugged medieval man, highly detailed, fantasy, godrays, cinematic lighting, close up, volumetric, realistic, digital art by greg rutkowski",no
"retro photograph of mughal emperor constructing the taj mahal using elephants and workers, construction work going on",no
"film still, medium shot, kylie jenner, dunkirk, christopher nolan, associated press, 2 6 mm, kodak ektachrome, blue tint expired film",no
"halloween, trick or treat, monster house, poster, 3 d, studio lighting, digital art",no
house designed by ludwig mies van der rohe,no
"a large tree rooted in a galactic crystal floating in space, by moebius",no
"“ logo of a mouse in the style of zootopia holding laser gun, with a black background, digital art, award winning, trending on art station, retro style ”",no
"poem, summer evening, kenton nelson",no
"portrait of a ballerina, very thick and wet oil paint, 8 k, cinematic light, shadows, reflection highlights in the paint, in the style of joseph lee,",no
"a rat is holding a gun and pointing it at the viewer, concept art by grillo demo, cgsociety, furry art, playstation 5 screenshot, dynamic pose, unreal engine 5",no
"nightly, spiral, naive nerikomi, weird perspective, extra narrow, detailed illustration, lit by flashlight, scenic spiral environment by rhads from lorax movie, trending artstation, true color, fisheye, grass field mountainous terrain, spiral clouds",no
Danny Devito as Spider-Man,no
animal mask totem roots flower tribal feather gemstone plant wood rock shaman vodoo video game vector cutout illustration vivid multicolor borderlands comics by josan gonzales and dan mumford radiating a glowing aura,no
"fine art photo of the beauty gal gadot, she is posing while maintain a sweet eye contact to the camera, she has a crown of flowers, the photo was taken at sunrise with a bokeh effect, by ellie victoria gale, photorealistic, matte painting, hyper realistic, 4 k, 8 k, cinematic composition, hd, highly detailed, trending on artstation",no
japanese hamster samurai. with katana. anime art. old painting. sacura forest,no
"golden retriever puppy sitting at a diner drinking a cup of coffee, looking melancholy, Edward Hopper",no
"intricate unicorn with wings, rainbow, on the background of a weird magical sky with clouds. Very detailed 8k. Fantasy. Sharp. Cinematic post-processing",no
"hyperrealistic rendering, fat smooth cronenberg flesh monster trump by donato giancola and greg rutkowski and wayne barlow and zdzisław beksinski, eyeballs, product photography, action figure, sofubi, studio lighting, colored gels, colored background",no
"beautiful portrait of a teen robot making fyunny face with the tongue, dystopian, biopunk, skin details, digital painting, sculpted in zbrush, artstation, concept art, smooth, sharp focus, illustration, chiaroscuro, soft lighting, golden ratio, rule of thirds, fibonacci, art by Audubon, incredible art by Stanley Artgerm Lau and Greg Rutkowski, composition by mike mignola and Simon Stalenhag,",no
"psychedelic mushrooms dream, by dave mckean",no
"giant shiba inu eating the earth, digital art, trending on artstation, highly detailed",no
"thicc curvy feminine goth bombshell cutie with a thin waist in an elaborate modest polished latex neck-high to floor-length outfit, cgsociety, photorealistic, sublime-classy-psychic-ritualistic-dignified ambience, 16k, smooth, sharp focus, trending on ArtStation, volumetric lighting, fully clothed",no
"tintin wearing headphones and speaking into big microphone, podcast! white terrier, drawn in the style of jean giraud!!",no
"analog polaroid of Kim Jong-il and a giant monster with starfish arms, seen from afar, sun and shadow, lens flare, film grain, azure tones, monochrome and red color bleed",no
"realistic illustration of an oasis in a desert. Hot yellow sand with cyan water with white lines of refraction. Palm trees surround the oasis. Pink blocks are rising out of the water in a row leading from near to far, with vines hanging off them",no
"giant daisy flower under head, frontal, girl in a suit, surreal photography, sunrise, dramatic light, impressionist painting, digital painting, artstation, simon stalenhag",no
"a painting of a zombie coming out of a doorway, concept art by dave melvin, photorealistic, hooks on chains, featured on deviantart, fantasy art, concept art, grotesque, creepypasta, black magic, demonic",no
"the portrait of chaotic neutral female rogue assassin as absurdly beautiful, gorgeous, elegant, playful, young woman, an ultrafine hyperdetailed illustration by kim jung gi, irakli nadar, intricate linework, bright colors, octopath traveler, final fantasy, unreal engine 5 highly rendered, global illumination, radiant light, detailed and intricate environment",no
"vampire, medieval painting",no
une place de paris en 2 0 2 0,no
"oil painting of mostly empty cottage interior, one small window with sunlight shining onto the floor. artistic. cozy. wooden floor. rustic. solace.",no
"a flooded hotel hallway at night, dark, dim, no light, underexposed, old polaroid,",no
