prompt,references_past
"sideview waist up portrait of it clown by laurie greasley and rene magritte, etching by gustave dore, intricate, sharp focus, illustration, highly detailed, digital painting, concept art, masterpiece",no
"Tsunami hits Oslo, Realistic, HDR, Clear Image, Historical Event,",no
"head and shoulders masterpiece portrait of a cute adorable cat wearing a spacesuit, surreal background, digital art by krenz cushart, trending on artstation, cgsociety,",no
"gediminas pranckevicius a maximalist portrait a with large lips and with large eyes, expressive, deformed face, wearing a bone gas mask, baroque by ayami kojima, greg hildebrandt, mark ryden, hauntingly surreal, highly detailed painting by, james jean and jenny saville, soft light 4 k rendered in octane",no
"a crocodile with a hat looking at two men in costume drinking beer with computer and talking to chickens in the street by artist joakim ojanen and robert crumb and hilma af klint and philip guston, psychological, photorealistic, dripping paint, washy brush, rendered in octane, altermodern, masterpiece",no
"la laguna de los caballeros in barco de avila mountains, 4 k, concept art, by wlop, ilya kuvshinov, artgerm, krenz cushart, greg rutkowski, pixiv. cinematic dramatic atmosphere, sharp focus, volumetric lighting, cinematic lighting, studio quality",no
nan,no
"president joe biden face to face with president joe biden, nikon 3 5 mm, photograph",no
"Zoe Kravitz with short hair as a techpunk astronaut, helmet with led lights, underwater in the ocean at night, clear water, volumetric lighting, glowing lights, 4k, octane, digital painting, artstation, concept art, cinematic film, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha , wide angle view,",no
"high quality high detail painting by lucian freud, hd, portrait of a indigenous tribe leader with colored face, photorealistic lighting",no
"a macro photo of a green apple on a wooden table at sunrise, hyperrealistic, some trees in the background, dof, octane render, unreal engine 5, trending on artstation, high quality, highly detailed, 8 k, soft lighting, path traced, beautiful, harmonious, complementary colors, serene scene, bloom, godrays, concept art",no
"A full portrait photo of real-life genos, f/22, 35mm, 2700K, lighting, perfect faces, award winning photography.",no
gays people in a chocolate field. high detail,no
"highly detailed vfx portrait of a character of a basketball ball monster stephen bliss, chalk, unrealengine, greg rutkowski, loish, rhads, beeple, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw,",no
"oil painting of grumpy rich steampunk penguin, sitting in fancy chair, wearing top hat, holding gold watch, steampunk factory background, sharp focus, fantasy style, octane render, volumetric lighting, 8k high definition, by greg rutkowski, highly detailed, trending on art Station, magic the gathering artwork, centered, deviantart,",no
"a zombie Garfield, by WLOP, horror, wounds, bloody, dark fantasy, trending on artstation",no
"a futuristic skull with glowing eyes and a wormhole tunnel, cyberpunk art by android jones, artstation hd, computer art, darksynth, synthwave, rendered in cinema 4 d",no
film still of Gene Simmons as joker in the new Joker movie,no
photo of a horse manatee hybrid,no
"A cyberpunk Chameleon cyborg on the street of a cyberpunk city art by Josan Gonzalez, sci-fi, highly detailed, digital painting, artstation, smooth, sharp focus, illustration, concept art by Josan Gonzalez and James Gurney and Mœbius",no
"intricate five bunny rabbitt by pablo picasso, oil on canvas, hdr, high detail, photo realistic, hyperrealism, matte finish, high contrast, 3 d depth, centered, masterpiece, vivid and vibrant colors, enhanced light effect, enhanced eye detail, artstationhd",no
"a portrait of a man white cat feline star trek the next generation. highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker, furry",no
"michelin star photography of a nascar cocktail, courtesy mbari,",no
"portrait of claire farron wearing white bra, in water, attractive, casual, modern, victoria's secret, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm, greg rutkowski and alphonse mucha",no
"intricate, fountain. centered, amazing composition by amano yoshitaka, by rembrandt, illustrious makinami, digital art, digital painting, artstation trending, unreal engine, fractal flame, transparent jellyfish, transparent feathers, bio luminescent, ice, water, leds",no
"Cellophane flowers of yellow and green Towering over your head Look for the girl with the sun in her eyes, octane render, psychedelic,4K,",no
"surrounded by trees, realistic character concept, gorgeous Kacey Rohl, red hair, small freckles, symmetrical face, symmetrical eyes, green dress, covered in blood, dark forest, trees, shorter neck, cinematic lighting, Joshua Middleton and artgerm, fear anxiety terror",no
"isometric star wars character design, idle, rpg, fire emblem, colored, sprite, pc game, sideview, art by moebius and greg rutkowski.",no
"space station 13, a clown on a space station, classical oil painting, powerful imagery, chaotic",no
"full shot of a snake action shot, in the jungle",no
"forbidden alchemy in the baroque era, mad scientist, chains, jars, lightning, hearthstone art style, epic fantasy style art by Craig Mullins, fantasy epic digital art, epic fantasy card game art by Greg Rutkowski",yes
"figment the purple dragon from disney as a anthropomorphic human, furry, realistic, 4 k photo, beautiful, award winning, 4 k, greg rutkowski",no
"heimdall ultra detailed fantasy, elden ring, realistic, dnd character portrait, full body, dnd, rpg, lotr game design fanart by concept art, behance hd, artstation, deviantart, global illumination radiating a glowing aura global illumination ray tracing hdr render in unreal engine 5",no
bernie sanders using force lightning,no
"macro of a teenage girl holds a glass of fresh water in a modern kitchen, close - up, depth field, advertising photography, 8 k, by nadav kander",no
"the animal kingdom in a stained glass window, hyper realistic, close up, symmetrical, 4 k, highly ornate intricate details,",no
Apollo 11. bauhaus art. retro comicbook art. dean ellis.,no
" a vintage movie poster titled Vulvine of a woman in love with skull oriental, dark,  jewels, by Saul Bass, by Georgia o Keeffe, by Yoshitaka Amano, by Gustave Moreau",no
