prompt,references_past
"of a full body, center frame hyper realistic digital art portrait of a cyberpunk war cleric in a futuristic pearl armor, tech helmet, dark gloomy environment. trending on artstation, art by lois van baarle by sung choi by john kirby artgerm style pascal blanche",no
"portrait of a full body of curvy young female solarpunk priestess in byzantine robes, fantasy, flat lighting, intricate, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by simon bisley and greg rutkowski and alphonse mucha, natural tpose",no
a portrait of a male character with the nose of Voldemort in a scenic environment by Ross Tran and by Jesper Ejsing and by Mikalojus Konstantinas Ciurlionis,no
A photorealistic sculpture designed by H.R. Giger of Photorealistic biomechanical a esophagus woman alien encased in transparent mucus on the bottom of a dark murky seafloor screaming into the camera. Shot on color film by blade runner Cinematographer Jordan Cronenweth next to the titanic wreckage illuminated over head by submarine lights surrounded with volumetric haze and murky water with a 9.8mm lens in the style of blade runner shot on color film,no
"anime portrait of an iridescent opal cyborg kunoichi, intricate ornate details, fantasy, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, artbook, splash art, promo art, soul calibur, league of legends, art by artgerm and greg rutkowski and bo chen and jin xiaodi",no
"dystopian and bleak Dallas skyline, bladerunner 2049 cyberpunk style, highly detailed photograph",no
"dark red paper with intricate designs,tarot card ,a mandelbulb fractal southeast asian buddha statue,full of golden layers, flowers, cloud, vines, mushrooms, swirles, curves, wave,by Hokusai and Mike Mignola, trending on artstation,elaborate dark red ink illustration",no
"the city & the city, peter elson",no
"cyberpunk anime art, refraction of beautiful cyborg girl in the style of arcane in a bath, full round face, biomechanical details, window reflections, wlop, ilya kuvshinov, artgerm, krenz cushart, greg rutkowski",no
"highly detailed exquisite fanart, of a stunning beautiful female warframe, but as an anthropomorphic robot dragon, standing elegantly, shining reflective off-white plated armor, bright Fuchsia skin, sharp claws, full body shot, epic cinematic shot, realistic, professional digital art, high end digital art, DeviantArt, artstation, Furaffinity, 8k HD render, epic lighting, depth of field",no
