prompt,references_past
A Dog sitting on the guy,no
a fashion photograph of Balenciaga's 2049 campaign by Helmut Newton,no
"a girl with black hair pixie cut in shorts with suspenders drawn by leonardo da vinci, frank frazetta, peter paul rubens, alphonse mucha, gustav klimt 8k, 4k, unreal 5, DAZ, trending on artstation, octane render, hyperrealistic",no
lion by shadow of the colossus,no
"legendary pokemon lens flare, atmosphere, glow, detailed,intricate, full of colour, cinematic lighting, trending on artstation, 4k, hyperrealistic, focused, extreme details,unreal engine 5, cinematic, masterpiece",no
"1980 xerox fanzine cutout collage, midnight hour on Jupiter, punk party, ancient greek, aquatic plants, painted part by Addy Campbell, part by dan mumford, part by zdzisław beksiński, composition by neo rauch",no
"landscape photo of mysteriously adorned skulls with fireflies in a barren landscape, by Beksinski and Greg Rutkowski and Giger and Lovecraft, cinematic, cinematic lighting, 4K, trending on artstation, photorealistic, cineovision",no
"realistic render of a cyborg - girl wearing a long trench coat by ross draws, futuristic dystopian city by ilya kuvshinov, digital anime art by ross tran, composition by sana takeda, lighting by greg rutkowski",no
"full-body cyberpunk style sculpture of a young handsome dark god of battle, half android with a head opening exposing circuitry, glowing red eyes, black roses, flowing blood-red colored silk, fabric, candles. baroque elements, genetically augmented cyborg male. full-length view. baroque element. intricate artwork by caravaggio. Trending on artstation, octane render, cinematic lighting from the right, hyper realism, octane render, 8k, depth of field, 3D",no
"halloween woman, trending on artstation, 30mm, by Artgerm",no
"photorealism of a muscular kitten, digital painting, strong",no
"Evil Gandalf 8k ultra realistic , lens flare, atmosphere, glow, detailed, intricate, full of colour, cinematic lighting, trending on artstation, 4k, hyperrealistic, Long shot, extreme details, unreal engine 5, cinematic, masterpiece",no
"dream theater, the count of tuscany portrait, mysterious atmospheric lighting, painted, intricate, volumetric lighting, beautiful, rich deep colours masterpiece, golden hour, golden ratio, sharp focus, ultra detailed, by leesha hannigan, ross tran, thierry doizon, kai carpenter, ignacio fernandez rios",no
"hyper realistic s y m b i o s i s, female cyborg, glossy material surface, body armour, octane render, 4 k, volumtric lights",no
"batman and robin driving the batmobile, painted by el greco",no
"pattern with fat ugly bankers in suits and cats in astronaut suits and fish figures, mild colors, black background,",no
"A dystopian futuristic cyberpunk city in ruins, tower blocks crumbling amidst the jungles and vines of overgrowth, vibrantly rich neon lighting, gleaming volumetric-lighting-style atmosphere, a dark gloomy futuristic atmosphere, intricate, detailed, photorealistic imagery, oil on canvas, illustrated by H.R. Giger and Syd Mead, trending on artstation, 4k, 8k",no
emu made of balloons,no
"portrait of streamer sykkuno, twitch tv, matte painting by ross tran, artstation",no
an adorable superhero porcupine,no
