prompt,references_past
"hyperrealistic portrait of india creature, cinematic, complex, highly atmospheric lighting, backlight, uplight, dramatic, trending on artstation, highly detailed, ornate, claudio bravo, alex grey, greg rutkowski, in the style of marvel comics, artgerm, frank bairstow, james cameron, ridley scott",no
"a beautiful and captivating sci - fi art nouveau style portrait of siouxsie sioux as a futuristic gothpunk rebel soldier by chris achilleos, travis charest and alphonse mucha, mixed media painting, photorealism, extremely hyperdetailed, perfect symmetrical facial features, perfect anatomy, ornate declotage, circuitry, technical detail, confident expression, wry smile",no
"Barbara Palvin as a Vampire Hunter, digital art, highly detailed, award winning, concept art, intricate, sharp focus, Trending on Artstation HQ, unreal engine 5, 4K UHD image",no
"vintage mcdonald's commercial depicting a cat, by saul leitner",no
"wave, particle, synth, frequencies, pattern, oscillation. wave-particle duality. colorful, vibrant. fractal gems, fractal crystals, by jean giraud.",no
"5 5 mm full body photo of sexy elf in a bikini by charlie bowater and titian and artgerm, nerd fantasy, intricate, face, highly detailed 8 k, intricate, lifelike, soft light, cinematic lighting, featured on artstation",no
"foggy halloween night, small town. cell shaded digital illustration by studio ghibli, beatrice blue, zedig, akihiko yoshida",no
"tio de nadal, log with a santa hat",no
metal chrome funko pop with neon lighting,no
"a cute creature sitting next to a mushroom, realistic, very detailed, complex, intricate, studio lighting, superres sharpening, bokeh, sigma 5 0 mm f 1. 4, impressionist painting, digital painting, artstation, simon stalenha",no
"a baby girl working CAD computer drafting, civil engineer, sitting at a desk",no
"joe biden, oil painting, digital painting, aphrodite, bathhouse",no
"a giant castle built in brutalist architecture, diverse unique building geometry full of shapes and corners, with a smaller base than the top of the tower, slowly growing in width as we get higher",no
"portrait of a demon, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and william - adolphe bouguereau",no
"hyper realistic, surreal, portrait of mob psycho smiling, shigeo kageyama painted by greg rutkowski, wlop, loish,",no
"realistic detailed image of a soviiet school-girl with a Turquoise hair holding an assault rifle,anime art, anime key visual by Ayami Kojima, Amano, Karol Bak, Greg Hildebrandt, and Mark Brooks, Neo-Gothic, gothic, rich deep colors. art by Takato Yamamoto. masterpiece. Beksinski painting. still from 1993 movie by Terrence Malick and Gaspar Noe",no
"portrait of a female android, by MARVEL comics and Sandra Chevrier",no
"full body portrait of a beautiful Kurdish bride wearing a beautiful wedding dress, very detailed eyes, hyperrealistic, beautiful and symmetrical face, very detailed painting by Claude Monet and Alphonse Mucha, ornate, trending on artstation, extremely high detail, incredibly intricate",no
"A half raven half human magical being looks out over an imposing medieval castle in the distance, dark fantasy, stormy sky, lightning, digital art by Greg Rutkowski and Studio Ghibli",no
"froggy chair, 3d model, animal crossing, froggy chair, adorable, cute, detailed",no
"graffiti of a forest on a wall, by birdo, alex maksiov and john pugh, anamorphic, surreal",no
epic fantasy landscape by michael whelan,no
"Anthropomorphized parrot trader in his shop, selling his wares, portrait, items, magic potions, carpet, window, fancy hat, sly expression , cunning expression, cute expression, D&D, fantasy, cinematic lighting, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, warm light, cozy warm tint, magic the gathering artwork, volumetric lighting, 8k, art by Akihiko Yoshida, Greg Rutkowski",no
