prompt,references_past
"chainsaw man, cinematic, realistic, photoreal",no
"a realistic and atmospheric watercolour fantasy concept art of a knight on a white horse, muted colors. by rebecca guay, michael kaluta, charles vess and jean moebius giraud,",no
"Rafeal Albuquerque comic art, Joshua Middleton comic art, pretty female Phoebe Tonkin, pirate, eye patch over one eye, evil smile, symmetrical face, symmetrical eyes, pirate clothing, long wavy brown hair, full body:: sunny weather::",no
"kid blowing bubble gum, disney style illustrations, blunt borders",no
"freddy krueger made of ice cream, realistic photography, high detailed",no
"A ghostly woman in a long, black victorian dress, standing in the middle of a ruined, abandoned, polish mansion kitchen, seen from inside. Pitch black darkness, A strong red keylight is the only lightsource. Smoke. Dirt, leaves on ground. Octane render. Substance painter. Zbrush. Trending on artstation. 8K. Highly detailed.",no
occultist design tattoo,no
"a beautiful woman sitting at a vanity in front of a mirror, beautiful face, fashion photography, elegant furniture, cracked mirror",no
"the universe in a machine, serial experiments lain",no
"parked lamborghini sian, fog, volumetric lighting, beautiful, golden hour, golden ratio, sharp focus, highly detailed, cgsociety",no
"a award winning half body portrait of a beautiful woman with stunning eyes in a croptop and cargo pants with rainbow colored ombre hairstyle head in motion and hair flying by thomas danthony, surrounded by whirling illuminated neon lines, outrun, vaporware, shaded flat illustration, digital art, trending on artstation, highly detailed, fine detail, intricate",no
"spring at medieval hobbit village, ornate, beautiful, atmosphere, vibe, mist, smoke, fire, chimney, rain, wet, pristine, puddles, melting, dripping, snow, creek, lush, ice, bridge, green, stained glass, forest, roses, flowers, color page, 4 k, contest winner",no
"a dieselpunk painting in the style of donato giancola, and in the style of tom bagshaw, and in the style of alphonse mucha. symmetry, smooth, sharp focus, semi - realism, intricate detail.",no
"beautiful portrait of blonde gianna michaels combined with kristenbell, by magali villeneuve and greg rutkowski and artgerm and alphonse mucha, intricate, elegant, highly detailed, photorealistic, trending on artstation, trending on cgsociety, 8 k, sharp focus",no
"john wick in the purge, artstation hall of fame gallery, editors choice, #1 digital painting of all time, most beautiful image ever created, emotionally evocative, greatest art ever made, lifetime achievement magnum opus masterpiece, the most amazing breathtaking image with the deepest message ever painted, a thing of beauty beyond imagination or words, 4k, highly detailed, cinematic lighting",no
"highly detailed oil painting | very intricate | cinematic lighting | award - winning | astronaut angel high fashion by alexander mcqueen | by roberto ferri, by tom bagshaw, by j. c. leyendecker and klimt, american romanticism, by austin osman spare, artstation, cgsociety, official art, octane",no
"a monolithic pillar temple in a taiga. snowing, overcast sky, grainy.",no
"a beautiful full body portrait of a beautiful hot Polish girl, beautiful detailed eyes, golden hour, standing on a beach in Boracay, outdoors, professional award winning portrait photography, Zeiss 150mm f/ 2.8 Hasselblad",no
"seamless pattern showing black cats. black and white, drawing, white background, seamless, ornament.",no
"Cuddly Death Princess, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by Krenz Cushart and Artem Demura and alphonse mucha",no
"“extravagant luxury modern kitchen, interior design, natural materials, fresh flowers in a vase, a fruit bowl, by Tadao Ando and Koichi Takada”",no
"photorealistic dark fantasy concept art of nightmare sans with his eye glowing, dynamic lighting, stunning visuals, ray tracing, beautiful scenery, cinematic, full body portrait, ultra detailed, hyper detail, stunning detail",no
"a man with a japanese long dark hair bun, in a snowy forest setting with ray lights, hard edges concept art, highly detailed, great cinematic lighting, depth of field, art by greg rutkowski, trending on artstation",no
individual smiling handsome alan turing silk screen butcher billy style,no
Jamie Campbell Bower and Eddie Munson in Brokeback Mountain (2005),no
"highly detailed portrait of cooper kupp eating a football, unreal engine, fantasy art by greg rutkowski, loish, rhads, ferdinand knab, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, global illumination, radiant light, detailed and intricate environment",no
"an image that the human brain can't process, extreme plus resolution fantasy concept art, intricate details to everything visible, sharp lighting",no
"dinosaur 7 6 retro futurist illustration art by butcher billy, sticker, colorful, illustration, highly detailed, simple, smooth and clean vector curves, no jagged lines, vector art, smooth andy warhol style",no
"painting of lavender field, highly detailed, golden hour",no
jack sparrow in csgo. csgo screenshot,no
"Elle Fanning wearing a teal baclava in the style of Paola Vetri, head and shoulders portrait, stormy weather, extremely detailed masterpiece, oil on canvas, low-key neon lighting, artstation, Blade Runner 2049, Roger Deakin’s cinematography, by J. C. Leyendecker and Peter Paul Rubens and Edward Hopper and Michael Sowa,",no
"arnold schwarzenegger walking dead telltale, telltale games style, symmetric!!, 4 k full hd,",no
"one solitary giger wyvern flying through new york city skyscrapers, in style of federico pelat and greg rutkowski",no
Joe Biden in Super Smash Bros,no
realistic high quality photo of artificial intelligence robot holding a sign with text that reads : dream,no
"a beautiful smiling little [[[[[[blonde toddler]]]]]] girl with short loosely curly hair, at the park on a beautiful day, holding a stuffed crow toy, by Artgerm, Mucha Klimt, Hiroshi Yoshida and Craig Mullins, featured on Artstation, CGSociety, Behance HD, Deviantart",no
"( ( dither ) ), editorial illustration portrait of miona hori posing, dynamic pose, modern art deco, colorful, ( ( mads berg ) ), christopher balaskas, victo ngai, rich grainy texture, detailed, dynamic composition, wide angle, moebius, matte print, wood block print",no
"gothic fairy with dragonfly wings, digital painting, liminal eerie midnight backlit, a picture taken by Michael Komarck and Daniel Ljunggren",no
"snowman on floating ice, photo realistic image, super detailed, 4K,cinematic look",no
"snoop dogg as a mage, short beard, grumpy, plate armor, Ivan Aivakovsky, Boris Vallejo, epic fantasy character art, D&D Concept Art, full length, ultra Realistic, Regal, Refined, Detailed Digital Art, Exquisite detail, post-processing, masterpiece, Cinematic Lighting, Unreal Engine, 8k, HD,",no
"fdggdfb 3 5 4 df 3 5 4 3 dsgfdg 3 5 4 gh 3 5 sfg 4 hgfdgh 8 7 gs 6 hgs 7 fds 3 5 4 6 8 7 6 1 2 5 3 by artgem, trending on artstation",no
"a black and white photo of a tiny fishing boat overwhelmed by huge waves, broiling seas, an album cover by hallsteinn sigurðsson, trending on behance, optical illusion, chillwave, concert poster, poster art, geometric",no
"unfinished color digital drawing escher style pattern of three point perspective, 3 6 0 panorama colorful kim jung gi fish under wather",no
"nick land, portrait, by rembrandt",no
"beautiful anime girl with long black hair and bangs, fine details portrait, bokeh. anime masterpiece by Studio Ghibli. illustration, sharp high-quality anime illustration in style of Ghibli, Ilya Kuvshinov, Artgerm",no
"Front view of a DSLR photo perfectly symmetrical sports car on a road inspired by a Shelby Cobra and Apple built out of aluminum and glass, dramatic lighting, CGsociety, octane render, 4k render, Unreal Engine 5, supercar, centered, symetrical, speed, futuristic,",no
"eerie dark interior of a futuristic lotus temple with gold, red and white marble panels, smoke and shafts of sunlight in the centre, in the desert, by buckminster fuller and syd mead, intricate contemporary architecture with art nouveau motifs, photo journalism, photography, cinematic, national geographic photoshoot",no
"a beautiful female indigenous warrior with futuristic face paint, neon ornamental markings, photorealistic, cinematic lighting, high resolution 4 k",no
basic digital drawing in photoshop of simple astronaut driving a fly car,no
green cube with face and horns,no
