prompt,references_past
"epic mask helmet robot ninja portrait stylized as fornite style game design fanart by concept artist gervasio canda, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination radiating a glowing aura global illumination ray tracing hdr render in unreal engine 5",no
"wide angle beautiful full body portrait of a cute male anthropomorphic border collie fursona wearing a t - shirt and posing in front of a park, character design by charlie bowater, henry asencio, and ross tran, furry art, furaffinity, scenic background, beautiful, glamor pose, detailed, trending on artstation",no
"hero world talespin, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination",no
Joe Biden sleeping on a bed in a court room,no
stylized concept art of beautiful jun amaki anime style wearing tokyo olmec streetfashion by katsuya terada and artstationtrending and pixv and princess mononoke olmec ghibli,no
"very coherent hyper realistic symmetrical photo, perfect body, aerial shot, a beautiful photo from the back of a petite brunette girl in a transparent sheer fabric white dress standing on a bright yellow rye field, a lot of clouds, trending on artstation, detailed, mild, ethereal, elegant, tender",no
"coffee sign, XF IQ4, f/1.4, ISO 200, 1/160s, 8K, RAW, unedited, symmetrical balance, in-frame, Facial Retouch",no
"beautiful long hairstyle, pinterest hair picture, back of the hair, long In style of Yoji Shinkawa and Hyung-tae Kim, concept art, highly detailed-H 704",no
rage comic,no
"portrait grigori rasputin praying in the mosque, wlop, james jean, tom bagshaw, rococo, trending on artstation, fantasy, intricate, elegant, highly detailed, digital painting, concept art, smooth, illustration, cinematic lighting, hyper realism, octane render, 8 k, hyper detailed.",yes
"logo by Victo Ngai, Kilian Eng and Jake Parker, simple white background, winning-award masterpiece,-W 512",no
a rabbit in the movie star wars empire strikes back screenshot,no
"futuristic aztec mayan city, skyscrapers, lights at the top, futuristic high tech, otherland, realistic, extremely detailed, cgi, trending on artstation, hyper - realistic render, 4 k hd wallpaper, premium prints available, by greg rutkowski, michael whelan",no
"ancient reptilian hunchback crab dragon exhaling sulfurous trail of methane smoke while crossing glacier covered with icy streams, famous 1970s science fiction naturalist Dark Souls concept art by Rembrandt, Ansel Adams, Audobon and Beksinski",yes
"breathtaking detailed pattern pastel colors, cinematic action scene from kill bill, with uma thurman in yellow kimono, swinging katana sword by wlop and artgerm, exquisite detail, enhanced eye detail",no
"sci - fi, close - up, 3 d, moon rays, stars, fashion model face closed eyes, cinematic, clouds, sun rays, vogue cover style, poster art, blue mood, realistic painting, intricate oil painting, high detail illustration, figurative art, multiple exposure, water, 3 d, by tooth wu and wlop and beeple and greg rutkowski",no
place you've been in your dreams,no
A still of Saul Goodman in The Wizard of Oz,no
"The end of an organism, from Warcraft",no
god,no
"beautiful natural annasophia robb, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha and loish and WLOP",no
"attractive male wizard casting powerful tsunami wave spell in a beautiful lake. highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker 8 k",no
"willys jeep, in kerala forest road in 1921, chasing action scene, an epic fantasy, dramatic lighting, cinematic, establishing shot, extremely high detail, photorealistic, cinematic lighting, matte painting, artstation, by simon stalenhag, shadow of the tomb rider",yes
"Hot young woman, grey skin, tattoos, wearing leather and hugging a shrouded humanoid digital art",no
