prompt,references_past
joe rogan smoking weed with pikachu,no
"fishperson, ultra detailed fantasy, dndbeyond, bright, colourful, realistic, dnd character portrait, full body, pathfinder, pinterest, art by ralph horsley, dnd, rpg, lotr game design fanart by concept art, behance hd, artstation, deviantart, hdr render in unreal engine 5",no
"digital art of a ghost smoking a cigarette on NYC sidewalk, city lights, trending on artstation, 8k, 4k, volumetric lighting, smooth sharp focus, lighthearted, cinematic composition, hd",no
"beautiful girl witch - doctor exploding into flowers, angels, 3 d render, hyper - realistic detailed portrait, holding velvet and electricity, ruan jia, wlop. scifi, fantasy, magic the gathering, hyper detailed, octane render, concept art, peter mohrbacher",no
"wide angle shot of river delta and sea waves by hiroshi yoshida, roger deakins, turner, rothko, full height fluid simulation in houdini, hyperrealism, highlands landscape, matte painting, unknown pleasures, top view, graphic design, trending on artstation, 8 k very high detail, concept art, rendered in octane",no
"a realistic liquid queen with a decorated dress made of white pearls , highly detailed, digital painting, Trending on artstation , HD quality, by artgerm and greg rutkowski and alphonse mucha, dramatic light, octane upscale max",no
"portrait of a werewolf in russia, 4 k, 8 k, octane render, creepy vibe, close up",no
matte painting rendered in unreal engine: This nеw life will reach the deep corners of the universe Searching for answers too complex to understand After time Approaching the heat death of the universe Their civilizations orbit the only remaining energy sources: Black holes To extend their final moments A synthetic reality is created In which millions of years can be experienced Within a minute of time To maximize resources This simulation is designed to mirror A historically simple time This simulation is what everyone is experiencing right now And the cycle repeats.,yes
"Isometric bio-luminescent waterfall, cherry-blossom-tree, night-time, moon, fireflies, atmospheric, magical atmosphere, octane render, artstation, HD, 8K",no
photograph of a real - life beautiful!! elemental lightning witch with ornate yellow and blue robes. extremely detailed. 8 k,no
"painting mermaid treasure on sea of thieves game avatar hero smooth face median photoshop filter cutout vector, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination",no
bill cipher from gravity falls by marc simonetti,no
"treehouse in a forest, dreamy",no
cat eating spaghetti with a spoon,no
"photorealistic documentary style close macro up cinematography of denis wilson at the 1 9 6 9 woodstock festival shot on 1 6 mm eastman 7 2 5 4 film with a 6 5 mm cooke panchro macro lens shot at magic hour by cinematographers, malcolm hart, don lenzer, michael margetts, david myers, richard pearce, michael wadleigh",yes
"playing piano by disney concept artists, blunt borders, rule of thirds",no
"collapsed steel titan colossus laying on rift edge, sunset, ocean and rocky mountains afar, single pine, fine art, artstation, matte painting, masterpiece by vasnetsov",no
Twin Peaks poster artwork by Kerne Erickson,no
"cat in burger costume floating in space, digital art, trending on artstation 4k",no
"bike stylize, san francisco, bansky art style, dynamic, yellow jersey",no
"soft painting curiosities ornaments synthwave, beautiful elven female warrior in full long dress, accurate features, focus, very intricate ultrafine details, black white purple volumetric clouds, award winning masterpiece, octane render 8 k hd, fantasy forest",no
