prompt,references_past
"a beautiful girl's face made of ivory and gold filigree, vintage photo by edward hopper, by Bosch, by klimt, art noveau, highly detailed, strong lights, liminal, eerie, Bright pastel colors, octane render, 8k,",no
a black and white hazy photo of Dorothy Parker in a bubble bath,no
a fjord in a tropical jungle.,no
Joe Biden with colorful clown makeup all over his face,no
"the silhouette of a meditating monk sitting in the fog on a stone protruding from the water in the rays of the morning sun, hyper detailed.",no
"nice quality and nice everything painting of a nice portrait of the girl with nice facial features, thick eyebrows, dark shadows under eyes, bright eyes sweater and shorts, at the psych ward laughing at the viewer, stylistically like Range Marata and stylistically like classic Disney movies, softly shadowed, enjoyable, with quality provio. rendered with 3D effect.",no
"a girl wearing a golden dress, grey hair, red necktie, cinematic, stunning, highly detailed, digital painting, artstation, smooth, hard focus, full body shot, illustration, art by artgerm and greg rutkowski and alphonse mucha",no
"Jennifer masterpiece by Edgar Maxence and Ross Tran and Michael Whelan, gustav dore, 8k, octane render",no
"hillside desert pavilion, palm springs, metal, glass, stone, large overhangs, beautiful vistas with cacti, rectangular pool, minimal kitchen, sliding glass windows, rust, shadows, tall entry, 8k, realistic, photo by julius shulman, sunbathing beautiful woman",no
"a beautiful ultradetailed painting of shrine urbex building unfinished building by albrecht durer, vice city wilderness assassin's creed at dusk cyberpunk thermal imaging made of glass matte painting earth tron laser sunlight at dawn nightvision, archdaily, wallpaper, highly detailed, trending on artstation.",no
"psychonautist in a crystal sphere, digital art, award winning, volumetric lighting",no
"image of random arts, weird, chaos, art, realism,dream",no
elizabeth olsen mixed with katie mcgrath,no
"tattoo design, stencil, portrait of rick and morty by artgerm",no
"chewbacca has a rock band, Moebius, Greg Rutkowski, Zabrocki, Karlkka, Jayison Devadas, Phuoc Quan, trending on Artstation, 8K, ultra wide angle, zenith view, pincushion lens effect",no
"portrait, ice fairy, face portrait, raphael lacoste, eddie mendoza, alex ross, concept art, matte painting, highly detailed, rule of thirds, dynamic lighting, cinematic, detailed, denoised, centerd",no
"embrace up by Disney Concept Artists, blunt borders, rule of thirds",no
"a detailed illustration of a cow standing in a grassy field wearing a witch hat, cow wearing hat!!! viewed in profile and far away, fog in the background, ultrawide lens, aerial photography, black and blue color scheme with gold highlights, art by greg rutkowski and alphonse mucha, artstation, 8 k",no
"hyperrealistic detailed image of a geisha laying in a art installation room, hd smooth interior by yayoi kusama, part by kei mieno, part by alex gray, part by ross tran, part by james jean, ultra realistic, highly detailed, life like face, detailed body, 8 k, octane render, trending on artstation, very cohesive, masterpiece",no
"lana del rey by dario argento, cosmic horror, abstract, ghostly, arcade, duotone, poltergeist, epic lighting, intricate, elegant, highly detailed, smooth, sharp focus, photo real, ultra realistic, unreal engine 5, raytracing, in the style of beeple and mike winkelmann, ultraviolet colors",no
"vr game, first person, handaxe, axe equipped, variety of fruits on the background, low poly",no
"a Sea made of shiny coins and dollars, waves of coins, 4k, high resolution, beatiful landscale",no
"keepers of time and space ,dune ,digital art, sharp focus,high quality,8k ,artation,cgsociety, by greg rutkowski and artgerm , very detail, wallpaper",no
"3 d render of a robot wizard, unreal engine",no
long shot photo of christina hendricks as catwoman,no
"female chrome futuristic cyborg with curved metal Loki horns, chrome motorcycle parts, full body, machine abstract background, neon bar lights, 3d render, octane, 8k, volumetric lighting, hyper-realistic, dark fantasy, diffuse lighting, intricate, highly detailed, lifelike, photorealistic, digital painting, trending on artstation, smooth, sharp focus, art by John Collier and Albert Aublet and Krenz Cushart and Artem Demura and Alphonse Mucha",no
"a beautiful painting of futuristic islamic city with dome and croweded street alot of people by angus mckie, trending on artstation",no
"four seasons in a day, spring, summer, fall, winter, landscape, dreamy, cinematic lighting, highly detailed, digital painting, trending on artstation, pixiv, concept art, sharp focus, illustration",no
"Death is swallowed up in victory, very detailed and beautiful face, screaming, artwork by artgerm, centered shot, wide angle, full body, islandpunk, solarpunk, DD, fantasy, highly detailed, digital painting, artstation, smooth, sharp focus, art by thomas kinkade and Stephan Martiniere and Kevin Swartz",no
"the death knight, standing on a hill, by Thomas Cole and Wayne Barlowe",no
"tall muscular infantry man in glossy sleek white armor with tiny red details and a long red cape, orange helmet visir, heroic posture brandishing laser rifle, on the surface of mars, night time, dramatic lighting, cinematic, sci-fi, hyperrealistic, movie still",no
"art nouveau style mansion, summer clouds, dawn, romantic, bright colors, flowerbeds, vines, god rays, realistic, filmic lighting",no
"“a man fatigue in his eyes as he stares down a pistol contemplating life, digital art, high quality, high definition, horror, dark”",no
a city skyline in the style of borderlands,no
"a cow with 2 heads, unsettling, found footage style, polaroid, kodak film",no
"something telling you to do wild, digital art",no
baby groot in the muppet show,no
"picture of elon musk wearing sunglasses and shuffling cards in the game of poker, good lighted photo, sharp details, detailed, hd, hdr",no
"film still of kim kardashian as a Rachel Green in friends, vibrant high contrast, octane, arney freytag, cinematic, glamorous, backlit, rim lighting, 8k",no
photo of thanos as a white man taken in studio lighting,no
movie still of kitt from the knight rider jumping over a truck,no
"Makise Kurisu sitting on a chair, anime style",no
"Gigantic quadruped monster with hair like fingers, high quality fantasy horror art, 4k",no
"beautiful ancient pastel frost witch, fire in eye, snow glow, pool party, highly detailed, digital painting, artstation, sharp focus, illustration, art by tan zi and ayanamikodon and alphonse mucha and wlop!!",no
"photo of an alien woman in the style of roger dean, realistic, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, art by greg rutkowski and artgerm, extreme blur coral reef background",no
"manikin made of marble, fractal neon explosion revealing a portal to a vaporwave paracosm, mountains in background, rule of thirds, clean linework, dramatic, moody, introspective, cinematic, award winning, 4 k, trending on artstation, photorealistic, volumetric lighting, octane render",no
rectangular photograph of five dollar u. s. currency note featuring lincoln,no
"two robots in power armor walking in a sand covered street, post apocalyse, ruined subdivision houses, Sci Fi, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, art by Greg Rutkowski and Alphonse Mucha",yes
"Mila Kunis silhouette posing in front of a camera with cute pink hearts floating in the air, Canon EOS R3, f/1.4, ISO 200, 1/160s, 8K, RAW, unedited, symmetrical balance, in-frame",no
centaur and nymph by Reinhold Begas,yes
