prompt,references_past
Alexander Lukashenko woman woman anime style,no
robotic jfk,no
"pepe the frog enjoying his day on the beach with an ice cream cone in his hand, cartoon style",no
"concept art of shrek as a boss in darkest dungeon, highly detailed, dark atmosphere, 2 d, cosmic horror, body horror, lovecraft mythos ",no
eric andre in the form of an anthropomorphic walrus,no
"a macro photograph of a bee covered in pollen, suckling inside of a flower center, award winning photography, national geographic, nature magazine",no
zoomed in iphone photo wet mineral formations,no
"logo for research lab, psychology, mind wandering, minimalism, vector art, brand mark, logo concept design, geometric, flat, limited palette, 9 9 designs, tatsuro kiuchi",no
"A treasure planet piano, atop a throne of vines, by Jim Buckels,",no
"Palace floating in heaven, 1km tall, thunderstorm, greek pool, beach and palm trees under the palace, major arcana sky, by paul delaroche, hyperrealistic 4k uhd, award-winning very detailed, heaven paradise",no
"< 3 d mecha > in the style of < neon genesis evangelion >, grey metal body, < full body robot photograph > octane render, 3 d, cgi",no
"he who prohibits, in the style of peter lloyd and gahan wilson, trending on artstation, dramatic lighting camera view from above strong colors, sabattier filter, 6 0 s kitsch and psychedelia, trending on artstation, modern art",no
"an elegant curvy feminine pale goth cutie wearing an elaborate latex-nylon-leather striped red-black-silver-gold neck-high dress, thin waist, cgsociety, photorealistic, 16k, smooth, sharp focus, trending on ArtStation, volumetric lighting, worksafe, sublime-comforting-intriuging ambience",no
close up photo portrait of a 19th male detective by Diane Arbus and Louis Daguerre,yes
"concept art illustration of a beautiful young japanese christina hendricks natalie portman as lara croft motoko kusanagi anime protagonist, wearing tokyo harajuku street fashion combat warrior fantasy bikini, intricate, elegant, gorgeous, stunning, alluring, art by kim hyng tae, style of blade and soul, and masamune shirow",no
"beautiful and gorgeous anime android robot girl with glossy skin, artstation, high quality, highly detailed,",no
"gandalf played by charles dance, standing outside orthanc in the style of h. r. giger",no
"dragon eating cookies, digital art",no
"movie diverse interracial team of robbers armed with rifles interior van, beautiful skin, natural lighting by Emmanuel Lubezki",no
"the gods of egypt fighting the olympians and the titans, greek myth, egyptian myth, mesmerizing, fantastical, concept art, highly detailed, artstation, trending, feng zhu, shaddy safadi, noah bradley, tyler edlin, jordan grimmer, darek zabrocki, neil blevins, tuomas korpi, wlop",no
"symmetrical centered goddess close-up portrait. cybernetic fireflies, jellyfish butterfly phoenix head. bio-mechanical bio-luminescence, intricate artwork by Tooth Wu and wlop and beeple. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k",no
"Christopher Walken as a NYC hot dog vendor, closeup, D&D, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, hearthstone, art by Artgerm and Greg Rutkowski and Alphonse Mucha",no
"mtg character portrait of a brawny male leonin warrior african lion angel of justice, with fiery golden wings of flame, wearing shining armor, wielding a flaming sword and holding a large fiery shield, by peter mohrbacher, mark brooks, wadim kashin, greg rutkowski, larry elmore, esao andrews, george pemba, ernie barnes, trending on artstation",no
"Street-art portrait of Alice in wonderland in style of Etam Cru, photorealism",no
"1 9 2 0's evergrowing smoky valley flower martin drawer glaze sprite, by amedeo modigiliani and artemisia gentileschi and wojciech siudmak, fine art, postmodern, pop art",yes
"portrait of till Lindemann. Detailed pencil drawing. trending on artstation, very coherent symmetrical artwork. He's eating a tomato. He cosplays thanos. cinematic, hyper realism, high detail, iridescent accents",no
"grunge cartoon landscape painting of bilie eilish with a wide smile and a red balloon by - michal karcz, loony toons style, pennywise style, horror theme, detailed, elegant, intricate",no
"realistic detailed portrait painting of a kid with a skeleton with a single rose wearing sci-fi helmet in a dystopian landscape by Jean Delville, Amano, Yves Tanguy, Alphonse Mucha, Ernst Haeckel, Edward Robert Hughes, Roger Dean, cinematic composition, dramatic pose, masterpiece, rich moody colours, blue eyes, 4k details",no
"messi tackling a blue demon surrounded by roteiro balls by Zdzisław Beksiński, football nike",no
"cinematic film still of a punk alien starring in a dave meyers directed music video, cgi, vfx, ( ( ( ( chiaroscuro ) ) ) ) lighting, shallow depth of field, 8 0 mm, f 1. 8",no
"photographic portrait of a stunningly beautiful gothic female in soft dreamy light at sunset, contemporary fashion shoot, by edward robert hughes, annie leibovitz and steve mccurry, david lazar, jimmy nelsson, breathtaking, 8 k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render",no
"diagram of a family, by bernard buffet and stephen gammell and emil nolde, 8 k, trending on artstation ",no
fat lindsay lohan sitting on a bench eating tacos,no
"centered rule of thirds 5 0 mm film still of a silver sphere orb, 3 d render octane, portrait, sharp focus",no
"analog medium format street photography portrait of an elegant man in new york, 1 9 6 0 s, ultra - detailed! lifelike! portrait featured on unsplash, photographed on colour expired film",yes
"realistic d & d fantasy cultist, closeup portrait art by donato giancola and greg rutkowski, vintage retro, realistic face, digital art, trending on artstation, symmetry!!",no
"viking battle toast, a slice of toasted bread with a face, arms and legs, holding a sword, cute, pixar, volumetric lighting, dynamic composition, fantasy, hyper detailed, ultra realistic, sharp focus, octane render, concept art by ruan jia and heng z and artem",no
hillary clinton standing in front of red drapes on a black and white checkerboard floor in twin peaks,no
"An anime portrait of Elvira, by Stanley Artgerm Lau, WLOP, Rossdraws, James Jean, Andrei Riabovitchev, Marc Simonetti, and Sakimichan, tranding on artstation",no
"Movie still of Kanye West riding an aligator in the movie Shrek, splash art, movie still, cinematic lighting, dramatic, octane render, long lens, shallow depth of field, bokeh, anamorphic lens flare, 8k, hyper detailed, 35mm film grain",no
"epic closeup cinematic still of koala as a ninja, 8 k backlit, rim lighting, dramatic lighting, beautiful composition badass aesthetic",no
Close-up of God being angry in the Garden of Eden. Adam and Eve look very guilty and the snake is leaving the scene quietly - in Jojo bizarre adventures,no
“minimalistic beautiful surprising illusion earring design”,no
"futuristic vehicle travelling in hyperspace, hyper detailed, digital art, artstation, cinematic lighting, studio quality, smooth render, by peter mohrbacher, hajime sorayama, wayne barlowe, boris vallejo, aaron horkey, gaston bussiere, craig mullins",no
"other worldly elegant fancy city, high-end civilization, luxurious onsens, with lush expensive Singaporean sakura season, Greek bathhouse, onsens, located on Waimea canyon in Kauai, Pamukkale, beautiful smooth sandstone in unique shapes with light beams that shine through its walls, gold striated interstellar swirling finish, white travertine terraces, digital painting, concept art, smooth, sharp focus, from Star Trek 2021, illustration, by WLOP and Ruan Jia and Mandy Jurgens and William-Adolphe Bouguereau, Artgerm",no
"lady gaga just dance poker face the fame 2 0 0 8 2 0 0 9 photoshoot, wearing vintage versace sunglasses, long platinum blonde hair with bangs, grace jones fashion, highly realistic. high resolution. highly detailed. dramatic. 8 k. 4 k.",yes
a painting of an apple in a bowl,no
"castle made of clouds, impressive details, ultra resolution, 8k,",no
"beauteous practical sumptuous biomechanical with incredible hair, projected ray traced oled retinal overlays, crystalline masterpiece incrustations, hyperdetailed face, elegant pose, movie still, intricate, octane render, cinematic forest lighting, cgsociety, unreal engine, crepuscular rays, god rays",no
"female ascending, radiating aura, motion blur, film grain, cinematic lighting, experimental film, shot on 1 6 mm, soft lighting",no
