prompt,references_past
"a man with many eyes, hyperrealistm still from the movie alien, studio lighting,",no
"young girl back to us in front of an igloo in the tundra, mysterious matte painting by makoto shinkai and craig mullins, trending on artstation",no
"a highly detailed beautiful portrait of a guinea pig as a jedi, the guinea pig have a lightsaber on his hand, the guinea pig his holding a jedi suit by gregory manchess, james gurney, james jean",no
"“film still of Bert from Sesame Street throwing the one ring into Mount Doom, directed by Peter Jackson”",no
"detailed realistic beautiful young medieval queen face portrait by jean delville, tom bagshaw, brooke shaden, gustave dore and marco mazzoni, art nouveau, symbolist, visionary, gothic, pre - raphaelite, ornate gilded medieval icon, surreality, ethereal, unearthly, haunting, celestial, neo - gothic, ghostly, memento mori, enigmatic",no
"a highly detailed epic cinematic concept art CG render digital painting artwork costume design: Robert Mitchum as a 1950s bus driver eating a massive hamburger, voluptuous sesame seed bun, extra ketchup and pickles and onions . By Greg Rutkowski, Ilya Kuvshinov, WLOP, Stanley Artgerm Lau, Ruan Jia and Fenghua Zhong, trending on ArtStation, subtle muted cinematic colors, made in Maya, Blender and Photoshop, octane render, excellent composition, cinematic atmosphere, dynamic dramatic cinematic lighting, aesthetic, very inspirational, arthouse",yes
"a highly detailed portrait from behind of a young couple, holding a tin can, remote icelandic village, summer, jeans and t shirt, blonde hair, muted colors, hyper realistic, extremely realistic, realistic, by tom bagshaw, trending on artstation,",no
"plants and flowers immersed in glass bottles on table in witch's room, witch's hat, old books and dip pen, photorealistic, looking down, wide shot, digital illustration, dramatic lighting, cinematic composition, concept art, detailed textures, black and white",yes
"Ladies in holograms of alien artifacts, electrical case display, total recall tech, , ultrarealistic, dramatic lighting, electrical details, high details, 4k, 8k, best, accurate, trending on artstation, artstation, photorealism, ultrarealistic, digital painting, style of Peter Mohrbacher, Caravaggio, Boris Vallejo",no
"A colorful pepe the frog clown, crazy, funny, stupid",no
Kate Bush Album 1970s,yes
"Owl Wizard, vivid colors, dark shadows, contrast, concept art, sharp focus, digital art, Hyper-realistic, 4K, Unreal Engine, Highly Detailed, Dramatic Lighting, Beautiful, by Brom, bastien lecouffe-deharme",no
mcdonalds on the moon by leonardo da vinci,yes
"queen of the moon with stars in her hair, by annie swynnerton and tino rodriguez and nicholas roerich and jean delville and donato giancola and tom bagshaw and evelyn demorgan and diego rivera, dramatic lighting, floral tattoos, rich colors, smooth sharp focus, extremely detailed, adolf wolfli",no
extremely detailed photoshoot of the best made japanese fursuit 1 6 k raw format nikon 6 0 mm f 2. 8,no
Leprechaun,no
"a Bobs Big Boy statue being excavated from the ruins of Pompeii, ultra detailed, 8k resolution, ultrarealistic",yes
"incredible screenshot, simple watercolor, masamune shirow ghost in the shell movie scene close up, robot androids playing guitars in heavy rock band, gun fire behind them, light rain, shinjuku, reflections, refraction, bounce light, rim light, bokeh ,hd, 4k, remaster, dynamic camera angle, deep 3 point perspective, fish eye, dynamic scene",no
"realistic photo portrait of beautiful black woman,",no
,error
80s polaroid colour flash photograph of Cthulhu as Mr. T,no
"illustrated poster of a dancer, in the style of john avon and raul urias and eva widermann, trending on artstation, halfrear lighting closeup view anaglyph filter, bokeh, anime, colored pencil art, belle epoque",no
mick jagger ronald mcdonald,no
"Thom Yorke lost, a photo by John E. Berninger, ultrafine detail, chiaroscuro, private press, associated press photo, angelic photograph, masterpiece",no
"hyperrealistic dslr film still of david spade disguised as a flat broad shovel, delivering mail, stunning 8 k octane comprehensive 3 d render, inspired by istvan sandorfi & greg rutkowski & unreal engine, perfect symmetry, dim volumetric cinematic lighting, extremely hyper - detailed, incredibly real lifelike attributes & flesh texture, intricate, masterpiece, artstation, stunning",no
"A centered chest up portrait of a psychedelic godlike atlas mothman smoking a hand-rolled cigarette smoking heavily , magic mushroom village in background , award winning. superb resolution. in the art style of junji Ito and greg rutkowski . Detailed Mushroom city in background. Hyper realistic anime. Perfect art. Dalle2",no
"a cozy skeleton that is dressed in sleepwear, and he is holding a large book, classic oil painting, cold tones, nightcap, slippers, dim lighting, extreme clutter, messy room, award - winning art, extremely detailed, sharp focus",no
"portrait of adeptus mechanicus techpriest at a forge, by cedric peyravernay and feng zhu, highly detailed, excellent composition, cinematic concept art, dramatic lighting, trending on artstation",no
"portrait of joan of arc as a catgirl, anime fantasy illustration by tomoyuki yamasaki, kyoto studio, madhouse, ufotable, square enix, cinematic lighting, trending on artstation",yes
"anime style, vivid, expressive, full body, 4 k, painting, a cute magical girl idol with a long wavy colorful hair wearing a colorful dress, correct proportions, stunning, realistic light and shadow effects, neon lights, studio ghibly makoto shinkai yuji yamaguchi",no
"landscape orthographic, ornament, trumpet, 2 d artwork by dom qwek, fish eye view, trending on polycount, artstation, 3 d hammer modeling, hd, vray, 8 k, sharp high quality artwork in style of greg rutkowski, concept art, blizzard warcraft artwork, hearthstone card artwork",no
polaroid of a dream reflection street photography portrait lomography,no
"a full body portrait of a beautiful post apocalyptic offworld nordic ice dragon charmer dancing playfully by the magma pits, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by krenz cushart and artem demura and alphonse mucha",no
"a river of bodies and nebula and jewels, by Georgia O keeffe, by Beksinski",no
"takashi murakami, ilya kuvshinov illustration colorful anime portrait of reol on stage, murata range, fine detail, perfect anime face, dramatic lighting, dynamic composition, moody, vivid, alphonse mucha, fine stippled lighting, grain, art deco, cel shading, kyoto animation, yoshinari yoh, last exile",no
"ice - t portrait, shot glass with ice cubes, by alfons mucha, golden hour, realistic, body shot, sharp focus, 8 k high definition, insanely detailed, intricate, elegant, cherry blossoms",no
"a detailed and award winning movie poster with a black marble statue of a woman wearing a motorcycle helmet with a closed visor, marble, statue, carved marble, very very beautiful, exquisite soft lighting, vogue, advertisement, poster, graphic design, typography, indoor, 8 k, detailed, beautiful",no
angel knight gothic girl in dark and red dragon armor. by gaston bussiere,no
"intricate highly detailed face portrait of asian - european woman, light blue chrome vines on her face, intricate, cgsociety, unreal engine, octane render, sharp focus, smooth, volumetric lighting, cinematic composition, artstation",no
"portrait of woman wearing an elegant black dress and matte bold makeup, she has long hair and bright eyes, determined expression, illuminated by cyan and purple neon lights",no
"realistic detailed semirealism beautiful gorgeous cute Blackpink Lalisa Manoban wearing white silky lingerie, white silky outfit, black hair black cat ears, black leather choker, proportional body, WLOP, Aztodio, Taejune Kim, sakimichan, ArtGerm, Pixiv, Instagram, Artstation",no
"sulky teenage optimus prime sits under a tree with his back leaning against the trunk, furtively reading a library book.",no
"a beautiful and detailed picture of mount fuji surrounded by a field of bluebonnets, in the style of magic the gathering, highly detailed, digital painting, god rays, volumetric lighting, octane render, 4 k resolution, art by adam paquette and johann bodin and jason rainville",no
"Karl Marx boxing Kangaroo, photo, 1920,",no
"milt kahl sketch of victoria justice with done up hair, tendrils and ponytail as princess padme from star wars episode 3",no
"! dream old man, by art by yoshitaka amano, - n 9, by yoshitaka amano,",no
"cosmic equilibrium, illustration, chaotic, sexy, wind, Eros, mist, moon explosion background, ornate clothes, volumetric lighting, soft lighting, soft details, painting oil on canvas by Edmund Blair Leighton and charlie bowater octane render, HDR, trending on artstation, 4k, 8k, HD",no
"architectural rendering of brutalism habitat 6 7 in the desert, biophilia mood, pool, garden",no
"2 chainz, made of clay, claymation",no
"a battle of creatures and humans , digital Art, Greg rutkowski, Trending artstation,cinematic",no
