prompt,references_past
"open mouth with tongue sticking out, say ahh, illustration, vector art, clean lines, on white background, pinterest, artstation, deviantart",no
"a giant abstract sculpture of the birth of the universe on the ocean water, in the style of jonathan monk, award winning, cinematic, hyper - realistic, very detailed, realistic water splashes, ray tracing, 8 k resolution, long - shot, sharp focus, low angle, 8 5 mm photograph, wide lens",no
A still of Mr Bean in Schindler's List,yes
"“ heaven slaughter, dramatic backlit lighting ”",no
A stunningly beautiful high key studio portrait adorable young curvy elven princess. Pale skin.,no
portrait of Chewbacca by Eugene de Blaas,no
"onion man, realistic shaded lighting poster by ilya kuvshinov katsuhiro otomo, trending on pixiv",no
"Masterpiece digital art by Dan Mumford Ted Nasmith, color hues, octane render trending on Artstation:2, A concept matte painting of internal lymphocyte virion rawandrendered synaptic fractality transmission embryonic beholder glial neurons cyberpunk eyewire nerve cells microscopic plankton glowing neuronal brain cell synapse by WojtekFus Facey rossdraws:5, Lone technician near the reactor:3",no
"a portrait of a cat in the forest, trending on artstation, trending on furaffinity, digital art, by kawacy, anime, furry art, warm light, backlighting, cartoon, concept art",no
"a painting of a woman with a yellow hat, a cubist painting by andre lhote, behance, orphism, picasso, cubism, constructivism",yes
,error
"editorial photo of brutal battle in layered jungle, big heavy warriors and small Amazonians climbing onto another and fight, epic,three point perspective, vintage, blood, slight inspiration of Boris vallejo and apocalypto, war photography",no
jesus versus batman in the style of 3 0 0 film cinematic gerard butler,no
wafflehouse on the moon,no
"a portrait of a beautiful young male wearing an alexander mcqueen armor made of armadillo , photographed by andrew thomas huang, artistic",no
"olivia wearing a risque outfit made from mirrors, half body portrait, 3 d animation, black hair, freckles, pale skin, photo by greg rutkowski, high fashion, female beauty, intricate detail, elegance, sharp shapes, soft lighting, vibrant colors, masterpiece",no
a scary looking but very friendly transparent ghost in Chicago in the style of a ghibli movie,no
"a detailed airbrush cyberpunk illustration of a female android seated on the floor in a tech labor, seen from the side with her body open showing cables and wires coming out, by masamune shirow, hajime sorayama, boris vallejo and katsuhiro otomo, japan, 1980s, dark, colorful",no
"an elderly goat with a long white beard, sitting in front of a birthday cake, in the style of a children's book illustration, cute, highly detailed digital art",no
