prompt,references_past
honey badger hugging a penguin in front of a small snake,no
app logo of a dating app for rubber ducks,no
"a group of friends in a snowy village, dynamic composition, motion, ultra-detailed, incredibly detailed, a lot of details, amazing fine details and brush strokes, colorful and grayish palette, smooth, HD semirealistic anime CG concept art digital painting, watercolor oil painting of Clean and detailed post-cyberpunk sci-fi, relaxing, calm and mysterious vibes,, by a Chinese artist at ArtStation, by Huang Guangjian, Fenghua Zhong, Ruan Jia, Xin Jin and Wei Chang. Realistic artwork of a Chinese videogame, gradients.,set in half-life 2, dynamic composition, beautiful with eerie vibes, very inspirational, very stylish, with gradients, surrealistic, dystopia, postapocalyptic vibes, depth of field, mist, rich cinematic atmosphere, perfect digital art, mystical journey in strange world",no
inside of a 1970s living room,yes
"a jungle path made of skulls, skulls scattered in the nearby jungle, lush, dense jungle, award winning, cinematic light, by Oliver beck and Marc simonetti",no
a portrait of a pretty young lady by bill henson,no
"a 2004 film still of a cat wearing a VR helmet, two people in lab coats standing behind the cat, one person has a clipboard, lab equipment in the background",no
glasses of pink fruit drink in the style of andy warhol,no
a crypto bot that predicts the price,no
"little boy wearing nun outfit, blonde hair. purple and yellow color palate, detailed soft painting, made in abyss art style, anatomically correct",no
"a highly detailed beautiful portrait of jim carrey as kratos, by gregory manchess, james gurney, james jean",no
"a potrait of Chris evan as Man of steel and full armour by Zack Snyder, 8k photorealistic, cinematic lighting, HD, high details, dramatic, trending on artstation, view from above",no
"a fantasy city built within a vast cave, illustration, raining, dark and moody lighting, sleek glass buildings, digital art, fantasy, 8 k, trending on artstation, detailed",no
"highly detailed vfx portrait of an white wings gundam with wings of feathers beam saber fighting in space with a beam gun, unreal engine, greg rutkowski, loish, rhads, beeple, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws, tom bagshaw, alphonse mucha, global illumination, detailed and intricate environment",no
"a horde of people next to a spaceship in a post-apocalyptic city, low angle, rich contrast, flying spaceships in background, hyperrealistic, Cryengine 8k UHD",yes
"beautiful warrior lady, black long hair, practical armor, brown skin, demonic eyes, low fantasy, extremely detailed, sharp focus, smooth, digital illustration, by rossdraws, frank franzzeta, sakimichan",no
"fierce warrior mage killing warrior angel, pimk hair, blue piercing eyes, mystery, beautiful aesthetic, by james jean, trending on artstation, digital art, octane render, 8 k, ultra realistic",no
"beautiful portrait painting of a cute lofi cyberpunk corgi smoking cannabis out of a bong, by Afarin Sajedi, Alessandro Barbucci, Alex Gross, Shin Jeongho, Shohei Otomo. trending on Artstation, 8k, masterpiece, face enhance, graffiti paint, fine detail, full of color, intricate detail, golden ratio illustration",no
"artwork of the etenal wall by terry oakes, trending on artstation, cinematic view, hdr, de - noise",no
"high quality high detail painting by lucian freud, hd, portrait of a batman, photorealistic lighting",no
"a fancy portrait of a giant mechanical beast by Greg Rutkowski, Sung Choi, Mitchell Mohrhauser, Maciej Kuciara, Johnson Ting, Maxim Verehin, Peter Konig, final fantasy, Marco lense , 8k photorealistic, cinematic lighting, HD, high details, atmospheric , trending on artstation",no
scarlett johansson as galadriel,no
"hyper realistic Princess Mononoke, spooky mask, busy cyberpunk metropolis, city landscape, jewels, style of tom bagshaw, mucha, james gurney, norman rockwell, denoised, sharp",no
"anime fine details portrait of joyful school girl Sailor Moon stay in front of big post soviet city buildings, nature, deep bokeh, close-up, anime masterpiece by Studio Ghibli. 8k, sharp high quality classic anime from 1990 in style of Hayao Miyazaki vivid synthwave",yes
"digital portrait, loish and ross draws",no
"full head and shoulders, beautiful porcelain female person, smooth, delicate facial features, white detailed eyes, white lashes, 3 d white shiny thick, large octopus tentacles and eyeballs by daniel arsham and james jean",no
geodesic space by buckminster fuller,no
"Children play on an abandoned railway track, painting by Edward Hopper",no
"the only impossible journey is the one you never begin, very detailed, very intricate art, japanese landscape, artwork by artgerm, rendered in pov - ray, style by greg rutkowski and thomas kinkade and tim burton",no
"2 0 5 0 singularity scene by shaun tan, intricate, torn paper decollage, oil on canvas by edward hopper, ( by mattias adolfsson ), by moebius",no
"female, the flash",no
"photorealistic render, hyper - detailed, of a punk robot with a mohawk, cyberpunk, punk, mohawk, riot, anti - establishment, dystopian, sci - fi, urban",no
palafito designed by frank gehry. fujinon premista 1 9 - 4 5 mm t 2. 9. portra 8 0 0.,no
"gigachad pepe the frog, stylized characrter render with cinematic lighting by greg rutkowski, trending artstation, deviantart, 8 k",no
"dramatic studio portrait of a beautiful flawless symmetrical man wearing intricate otherworldly gold and white jewelry and wearing an ornate elegant gold headdress, hyper realism, very detailed",no
"a frightened funny ukrainian is trying to escape, badly injured from radiation from a huge nuclear explosion, a nuclear missile flies right at him",yes
"“a very dim parlor pierced by a single morning ray of sun with dust floating gently through the light and a small colorful tattered Persian throw rug scattered with children blocks, an old small tricycle in the corner of the room. Very low energy. Bokeh. 4K. Artstation. Award winning composition”",no
"goddess portrait. jellyfish phoenix head. intricate artwork by Tooth Wu and wlop and beeple. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k",no
"complex 3d render ultra detailed of a beautiful porcelain profile afro woman face, biomechanical cyborg, analog, 150 mm lens, beautiful natural soft rim light, big leaves and stems, roots, fine foliage lace, silver white red details, massai warrior, Alexander Mcqueen high fashion haute couture, pearl earring, art nouveau fashion embroidered, steampunk, intricate details, mesh wire, mandelbrot fractal, anatomical, facial muscles, cable wires, microchip, elegant, hyper realistic, ultra detailed, octane render, H.R. Giger style, volumetric lighting, 8k post-production",no
"symmetrical feminine cyborg goddess rendered in Cinema 4D and Octane and Unreal Engine 5, elegant and ornate futuristic silk robes, glowing white neon eyes, platinum and obsidian flowing long hair, art by Artgerm, Beeple and Alphonse Mucha, hyperrealism, full body photogenic shot, digital render, cinematic lighting ornate earrings, 8k resolution, masterpiece work",no
"tentacles made of brown corrugated cardboard, cut out of cardboard, realistic photography, fantasy",no
"god of ai art, neuromancy, rene lalique, highly detailded,, by william - adolphe bouguerea, by rembrandt, by gustav klimpt, cpu gpu wafer",no
Dasha Nekrasova,no
"James Cameron as the T-800 Terminator, the terminator robot looks exactly like James Cameron, ambient lighting, 4k, anime key visual, lois van baarle, ilya kuvshinov, rossdraws, artstation",no
"of a photo of jean - michel basquiat and kurt cobain in basquiat ’ s studio, photorealistic,",no
"small innovative technological port height balinese cat mayo port bench , by Camille-Pierre Pambu Bodo and Juan Giménez and Martin Johnson Heade , pixel perfect , poster art , watercolor",no
"giger fractal spider joker alien, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart.",no
"a cell shaded cartoon movie still from princess mononoke ( 1 9 9 7 ) showing a giant ufo from independence day ( 1 9 9 6 ) over stonehenge. on a misty and starry night. very dull muted colors, hd, 4 k, hq",yes
Thunderbird 2 from International Rescue,no
a cool lemon riding a skateboard in times square new york,no
