prompt,references_past
"full headshot portrait of little anthropomorphic giraffe, green eyes, light brown fur, light hair, drawn by wlop, by avetetsuya studios, attractive character, colored sketch anime manga panel, cirno from touhou, trending on artstation",no
"Hobbiton but the houses are made from shipping containers, realistic, highly detailed, digital painting, smooth, sharp focus, cinematic lighting, Peter Jackson",no
"a realistic detailed photo of a guy who is an attractive humanoid who is half robot and half humanoid, who is a male android, f 1 driver charles leclerc, shiny skin, posing like a statue, blank stare, by the pool, on display, showing off his muscles, humanoid robot, frozen ice statue, made of ice",no
"a anime nendoroid of Eminem, figurine, product photo, detailed",no
"a big through arch bridge on local river, a lot of old boat in river, brick buildings near a lot of palm trees and bougainvillea, hot with shining sun, painting by egon schiele",yes
"Anime manga robot!! Anime girl tattoo, cyborg girl, exposed wires and gears, fully robotic!! girl, manga!! in the style of Junji Ito and Naoko Takeuchi, cute!! chibi!!! Schoolgirl, tattoo on upper arm, arm tattoo",no
"Donald Trump holds a surfboard standing near the breakwater at a beach, Chunky old Trump wears tropical board shorts and sandals with a smug look, 4k, sharp focus, photo by professional",no
ron burgundy in a long stem glass,no
"hyperrealistic and heavy detailed product photo versace boot of judge dredd, in front of white back drop, whole shoe is in picture, leica sl 2 5 0 mm, vivid color, high quality, high textured, real life",no
"A highly detailed matte painting of a huge pirate ship in the ocean by Studio Ghibli, Makoto Shinkai, by Artgerm, by beeple, volumetric lighting, octane render, 4K resolution, trending on artstation",no
"hi - tech alien space ship crashed on dystopian earth, nyc 2 0 7 7, detailed, sharp focus, brush strokes, technicolor, by john berkey, craig mullins.",no
"goddess macro shouler portrait from bottom to top in crown made of ram skull. betta fish, jellyfish phoenix, bioluminiscent, plasma, ice, water, wind, creature, super intricate ornaments artwork by tooth wu and wlop and beeple and greg rutkowski",no
"“ the entry into the garden of delights, golden portals with mirrors reflect humanity ’ s causal network of relationships, highly detailed in 4 k ”",no
"song Rebirth, Cinema 4d, Octane render",no
"ornate doorway to a monolith in a desert lush vegetation, warm tones, night, water reflection : : by michal karcz, daniel merriam, victo ngai and guillermo del toro : : ornate, dynamic, particulate, intricate, elegant, highly detailed, centered, artstation, smooth, sharp focus, octane render, 3 d",no
handman handmale handhead head with horn in form of hand anime mutant,no
portrait of carribean man wearing a yellow colored santa suit,no
"A giant medieval city with big walls, fantasy, gigantic scale, dynamic lighting, cinematic, concept art, trending on artstation",no
"intricate illustration, of a small village, inside a glass jar. intricately detailed. beautiful. colourful. 3 d vray render, artstation, deviantart, pinterest, 5 0 0 px models",no
"intricate fractal patterned building facade using wood and concrete with cloudy dramatic sky and grassy meadow, hyperrealism, 4 k octane render, photorealistic concept art, highly detailed",no
