prompt,references_past
"a bunch grapes but each face is a celebrity, concept art by caravaggio and greg rutkowski and artgerm",no
"a beautiful two color illustration of palm springs by James gilleard, green, orange, artstation HD, geometric lines, HD, 4k, 8k",no
"illustration gta 5 artwork of geert wilders, sunglasses, in the style of gta 5 loading screen, by stephen bliss",no
"carefree black children playing smiling and laughing surrounded, digital renaissance painting by artgerm by caravaggio and face by wlop",no
"a highly detailed beautiful portrait of the country lebanon, by gregory manchess, james gurney, james jean",no
"Alchemy yamaha motorcycle. By Konstantin Razumov, highly detailded",no
photo of a tasty cheeseburger,no
"Beautiful alien landscape, gas storm volumetric, blue and orange scheme, intricate, cinematic lighting, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by Artgerm and Greg Rutkowski",no
"paint brush strokes, abstract watercolor painting of rustic village fortress, pine trees, mysterious mythology, medieval straw roof, scandinavian viking age, fog, ambient lighting, art by hans dahl, by jesper ejsing, art by anders zorn, wonderful masterpiece by greg rutkowski, cinematic light, american romanticism by greg manchess, creation by tyler edlin",yes
photography cute chicken dressed as a prisioner,no
1 9 5 0 s rebel teen male at the gym art by wes hempel,no
man getting his armpits tickled by another man,no
"A nuclear power plant in utopia by Simon Stålenhag and J.M.W. Turner, oil on canvas<photobomb>Alpaca</photobomb>; Nuclear Fallout, Art Direction by Adam Adamowicz; 4K, 8K Ultra-Realistic Depth Shading; Epic 4k dream drone shots",yes
"Portrait of Michelle Obama as the Girl with Pearl Earrings, Oil on Canvas painting by johannes vermeer",yes
"an abstract spiritual background, a multiracial greek god dancing, green eyes. high contrast lines, great detail. 2 4 mm, photorealistic, muted color scheme",no
"a mountain shaped like a nose, glorious, postcard design",no
Side profile portrait of attractive Greek celestial goddess with an aquiline nose looking down with a gentle smile. Her blue face is emerging from her big wavy orange hair with pink highlights. Her hair fills most of the image. Hubble space telescope image of nebula.,no
"the mind is leaving the body of a computer by mia brownell, art by anna hotchkis, antonio saura, very detailed, maximalism, ambient occlusion, volumetric light, atmospheric haze, hyper realism, futuristic but colorful shading, cinematic composition, realistic render, photography, wide shot",no
new and wild Pokémon in the style of Pokémon  Scarlet and Violet 4k ultra high quality,no
"Stone Weegee Statue in Ancient Greece, Realistic, 4k Resolution, 8k Resolution, Detailed, Very Detailed, Highly Detailed, HD Quality, Digital Art, Trending on Artstation, Renaissance Art Style",no
"the solarpunk phoenix, red bird, ornate egg, regeneration, landscape, epic composition, volumetric light, bokeh, inspired by peter mohrbacher and by alphonse mucha",no
"old wetplate daguerreotype frame portrait of a futuristic silver armored pretty queen elisabeth emperor district 9 cyborg, fractal, intricate, elegant, highly detailed, subsurface scattering, by jheronimus bosch and greg rutkowski and louis jacques mande daguerre",yes
"giant cats and dogs are falling from the sky like rain, bystanders watching from the sides, 4 k, by miyazaki, monokubo, artstation, ",no
"digital painting of a ultra detailed night sky with constellations, detailed very beautiful girl swimming in a blue pool, Perseides meteor shower, ultra detailed hill top over behind a forest, large mountains in back, concept art, low angle, high detail, warm lighting, volumetric, godrays, vivid, beautiful, trending on artstation, by Jordan Grimmer, no focus, huge scene, ultra detailed trees, F11 aperture, in the style of JIM RICHARDSON",no
"map of the multiverse, painting by Alex Grey and Hajime Sorayama",no
a pencil sketch of jean - luc picard,no
"cute cat photo licking tongue sticking out, wearing wool hat cat ears",no
egg with a leaky nose. yolk is coming out of the egg's nose.,no
"seven chickens in dresses, maxfield Parrish",yes
"a female android leaving assembly chain, digital drawing and coloring, mamoru oshii ghost in the shell, ethereal and neons lights",no
"fully black background. background hex 000000. goddess princess face close-up portrait ram skull. japanese coloured paper bas relief paper sculpture. jellyfish phoenix head, nautilus, orchid, skull, betta fish, bioluminiscent creatures, intricate artwork by Tooth Wu and wlop and beeple. octane render, trending on artstation, greg rutkowski very coherent symmetrical artwork. cinematic, hyper realism, high detail, octane render, 8k",no
"Dark gritty realistic highly detailed intricate artistic award winning digital oil painting featuring the iridescent ornate cloaked hooded warrior partially cybernetic dark entity god of future technology floating in an aggressive stance brandishing cosmic smoking iridescent weaponry, intricate, ornate, black armor with hints of rainbow and gothic influence, smooth oil painting, muted realistic colors, epic megastructure space scene background, super intricate, galactic, moody colors, realistic, real colors, moody, ominous, dangerous aura, microchips, crystallic, iridescent, lasers, gems, multicolored glints, precious elements, beautiful, detailed, concept art, render, unreal engine, 4K, artstation",no
painting of a lush natural scene on an alien planet by vincent van gogh. beautiful landscape. weird vegetation. cliffs and water.,yes
"perfect, realistic oil painting of japanese girl posing, in leather jacket, miniskirt, pantyhose and high heels, in sci-fi dystopian alleyway, by an American professional senior artist, Hollywood concept, dynamic composition and motion, postproduction.",no
green pig,no
"A portrait of a dark occult priest by ross tran, hyper-detailed, intricate, wide angle, beautiful, fantasy, concept art",no
The Toronto Blue Jays winning the World Series,yes
a new color that doesn't exist,no
"the climate crisis in a plastic bottle, trending on artstation",no
"photo of 8k ultra realistic burning battleship at sea, heavy storm, rain, large waves, full of colour, cinematic lighting, battered, trending on artstation, 4k, hyperrealistic, focused, extreme details,unreal engine 5, cinematic, masterpiece, art by Peter Mohrbacher",no
"anime style, vivid, expressive, full body, 4 k, painting, a cute magical girl with a long wavy black hair, stunning, realistic light and shadow effects, centered, simple background, studio ghibly makoto shinkai yuji yamaguchi",no
"emma watson as a mark ryden doll, detailed digital art, trending on Artstation",no
"wall - e in a battle, smoke, fire, explosions, chrome, shiny, reflective, metallic, 3 d render, realistic, hdr, stan winston studios, dramatic lighting, flame colors bright,",no
chicken nugget shaped like donald trump,no
"a japanese alleyway in the style of blade runner 2049, volumetric lighting,",no
"dslr portrait still of a bearded dragon wearing a top hat and a red bowtie, 8 k 8 5 mm f 1. 4",no
"futurist armor for soldiers by leyendecker, intricate, extreme details, design sheet",no
"Tennis court on the island of floating air, by Miyazaki Hayao",no
An emerald green meadow filled with ancient structures with a cosmic sky full of stars and swirling lights,no
portrait portrait face head eyes scream Razorpunk the wailing banshee priestess lady trumpets your name and bursts your eardrums with her sonic assault nicola samori charlie bowater ross tran greg rutkowski greg danton jonas de ro jim mahfood christian schad ilya repin giorgio de chirico giotto leonardo da vinc oil painting,yes
