prompt,references_past
"and endless train station, it goes in forever, dreamscape surreal masterpiece. Zdzislaw, barlowe. 8k.",no
"( ( ( ( innsmouth dweller ) ) ) ) dressed in raincoat, male, clear face, masculine, upper body, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",no
"poster artwork by Michael Whelan and Tomer Hanuka, Portal Gun, clean",no
"symmetry! portrait of a old male caucasian warrior, decorated with black and white chinese patterns, assassin's creed, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, volumetric lightning, ue 5, art by artgerm and greg rutkowski and alphonse mucha, 8 k",no
cyberpunk neighborhood by john harris,no
"35mm color, identity, portrait, fashion shoot, freak show, weird, random, strange, hyperdetailed, photorealistic, high fashion, interesting, alien mothership, by David la chapelle and david cronenberg and WETA digital, art by Zdzisław Beksiński, Ivan Bilibin, ID magazine, octane rendering, cinematic, hyperrealism, octane rendering, 8k, depth of field, bokeh.",no
a photo of a white man with a mid fade haircut and level 1 clipper beard that is happy with his 3 month year old baby boy.,no
"helmet portrait of a figurine of samus aran's varia power suit from the sci - fi nintendo videogame metroid. designed by hiroji kiyotake, gene kohler and rodney brunet. metroid zero mission. metroid prime. glossy. red round helmet, orange shoulder pads, green visor. shallow depth of field. suit of armor.",no
"portrait of catriona balfe as a kayan tribe woman with gold neck rings, hyper detailed ultra sharp trending on artstation, colorful, psychedelic, ornate, intricate, digital painting, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and h. r. giger, 8 k",no
"film still of a hamster working as a mechanic in an auto shop, 8 k",no
"anthropomorphic shiba inu, berserk anime guts armor and two hand guts sword, red light aura, fantasy, dark, portrait art by donato giancola and greg rutkowski, realistic face, visible aura, digital art, trending on artstation, symmetry",no
nigerian boy in front of a mansion in russia,no
"robot ninja mask helmet megaman x zero rockman 2 0 2 2 switch game boss legacy collection fanart artsation, art gta 5 comics, behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination ray tracing",no
"studio light, portrait, diego armando maradona by mark brooks, by roger dean, hd, hyper detailed, 4 k - h 6 4 0",no
"An epic fantasy comic book style portrait painting of an arrogant half elf ranger with shaggy brown hair, scruffy beard, scar on face, blue tunic, unreal 5, DAZ, hyperrealistic, octane render, cosplay, RPG portrait, dynamic lighting",no
"studio portrait still of muppet!!!!! gordon freeman!!!!!! as a muppet muppet as a muppet, 8 k, studio lighting, key light,",no
"dana scully in stret fighter v ( 2 0 1 7 ), dynamic pose, official media, ps 4 in - game cinematic, 5 k",no
